"Track.n." "Slice.n." "X" "Y" "Distance" "Velocity" "Pixel.Value" "Treat" "Replica" "was.disp" "ID" "time"
"333" 1 33 5440 2470 "1.280.791" 128.079 -5000293 1 2 1 1211 330
"334" 1 34 5410 1928 "2.714.148" 271.415 -4077384 1 2 1 1211 340
"335" 1 35 5329 1450 "2.424.072" 242.407 -1645103 1 2 1 1211 350
"336" 1 36 5098 1070 "2.223.516" 222.352 -5067137 1 2 1 1211 360
"337" 1 37 4723 755 "2.448.724" 244.872 -5460605 1 2 1 1211 370
"338" 1 38 4569 691 "833.846" 83.385 -6254774 1 2 1 1211 380
"339" 1 39 4450 529 "1.005.050" 100.505 -5987477 1 2 1 1211 390
"340" 1 40 4394 320 "1.081.862" 108.186 -4406905 1 2 1 1211 400
"341" 1 41 4411 136 "923.918" 92.392 -3946841 1 2 1 1211 410
"342" 1 42 4010 439 "2.513.016" 251.302 -5921674 1 2 1 1211 420
"343" 1 43 3114 785 "4.802.426" 480.243 -6118774 1 2 1 1211 430
"344" 1 44 2619 1100 "2.933.641" 293.364 -5725837 1 2 1 1211 440
