"dec_lon","dec_lat","gps","plot","species","dbh_cm","height_m","dbh_height"
15.486512,-2.501109,"1763_3_1","elephants","HA",9.6,4,0.380211241711606
15.486523,-2.50111,"1764_3_1","elephants","HA",9.5,3.1,0.486361911454575
15.48629,-2.501337,"1765_3_1","elephants","HA",11.1,5,0.346352974450639
15.48637,-2.501581,"1766_3_1","elephants","HA",9.1,3.2,0.453891414001188
15.486606,-2.50183,"1767_3_1","elephants","HA",11,6,0.263241434774581
15.486663,-2.501875,"1768_3_1","elephants","HA",9.1,4,0.356981400993131
15.486444,-2.501873,"1769_3_1","elephants","HA",10.3,4.5,0.359624710929829
15.482569,-2.502487,"177_1_1","elephants","HA",13,5,0.414973347970818
15.484802,-2.501415,"177_2_1","elephants","HA",11.7,4.6,0.405428030064588
15.486368,-2.502031,"1770_3_1","elephants","HA",9.5,6,0.199572354905204
15.486546,-2.5024,"1771_3_1","elephants","HA",9,3.1,0.462880815605052
15.486544,-2.502455,"1772_3_1","elephants","HA",9.3,4,0.366422957225973
15.486585,-2.502506,"1773_3_1","elephants","HA",9.7,4,0.384711742938282
15.48653,-2.502523,"1774_3_1","elephants","HA",11.3,7,0.207980403469163
15.486588,-2.502522,"1775_3_1","elephants","HA",11.9,3.1,0.584185267558258
15.486655,-2.502487,"1776_3_1","elephants","HA",15.6,4,0.591064607026499
15.486659,-2.502482,"1777_3_1","elephants","HA",10.3,3.1,0.5214755308709
15.486638,-2.502571,"1778_3_1","elephants","HA",18.3,5,0.563481085394411
15.486636,-2.50263,"1779_3_1","elephants","HA",12,3.1,0.587819552213352
15.482478,-2.502458,"178_1_1","elephants","HA",11.6,4,0.462397997898956
15.484802,-2.501424,"178_2_1","elephants","HA",13.9,4.6,0.480256968572521
15.486737,-2.50274,"1780_3_1","elephants","HA",10.5,3.2,0.516039320750032
15.486741,-2.502789,"1781_3_1","elephants","HA",16,1.53,1.01942855183833
15.486286,-2.502612,"1782_3_1","elephants","Maprounea africana",11.3,3.3,0.534564503605532
15.486357,-2.50256,"1783_3_1","elephants","HA",10.7,6,0.251232527301566
15.486376,-2.502569,"1784_3_1","elephants","HA",10.1,4.2,0.381072083384742
15.486353,-2.5026,"1785_3_1","elephants","HA",10.1,3,0.52720011906298
15.486442,-2.502563,"1786_3_1","elephants","HA",11,4,0.439332693830263
15.486435,-2.50256,"1787_3_1","elephants","HA",14.1,7,0.304121072641123
15.486273,-2.502457,"1788_3_1","elephants","HA",9.5,4,0.375663613960885
15.486229,-2.502551,"1789_3_1","elephants","HA",10,3,0.522878745280338
15.482332,-2.502494,"179_1_1","elephants","HA",18.2,5,0.561101383649056
15.484742,-2.501424,"179_2_1","elephants","HA",14.2,5,0.453318340047038
15.486145,-2.502482,"1790_3_1","elephants","HA",9.4,7,0.128029813585442
15.48612,-2.502441,"1791_3_1","elephants","HA",10,3.1,0.508638306165727
15.485949,-2.502536,"1792_3_1","elephants","HA",10.5,3,0.544068044350276
15.4858,-2.502428,"1794_3_1","elephants","HA",10,4,0.397940008672038
15.485779,-2.502437,"1795_3_1","elephants","HA",16.9,6,0.44973545423003
15.485702,-2.502401,"1796_3_1","elephants","HA",11.9,5,0.376576957056512
15.485704,-2.502333,"1797_3_1","elephants","Maprounea africana",10.9,3.5,0.493358453590348
15.485705,-2.502281,"1798_3_1","elephants","HA",9.2,3.5,0.41971978299528
15.485738,-2.502223,"1799_3_1","elephants","HA",10.6,3.5,0.481237820914495
15.48319,-2.504949,"18_2_1","elephants","HA",9,1.8,0.698970004336019
15.482289,-2.502601,"180_1_1","elephants","HA",11.2,6,0.271066772286538
15.484745,-2.501402,"180_2_1","elephants","HA",11,4,0.439332693830263
15.485465,-2.502255,"1800_3_1","elephants","HA",11.6,3.1,0.573096295392646
15.485375,-2.502389,"1801_3_1","elephants","HA",10.5,3.1,0.529827605235665
15.485317,-2.502427,"1802_3_1","elephants","HA",9.2,3,0.486666572625893
15.485334,-2.502642,"1803_3_1","elephants","HA",11.8,5,0.372912002970107
15.485604,-2.502673,"1804_3_1","elephants","HA",9.5,6,0.199572354905204
15.485656,-2.503001,"1805_3_1","elephants","HA",9.3,3.1,0.477121254719662
15.485495,-2.503061,"1806_3_1","elephants","HA",9.6,3.2,0.477121254719662
15.485408,-2.50292,"1807_3_1","elephants","HA",10.4,3,0.539912084579118
